GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pg-embedded,de.softwareforge.testing.postgres.embedded,EmbeddedUtil,72,251,18,26,16,56,17,18,1,12
pg-embedded,de.softwareforge.testing.postgres.embedded,DatabaseManager.InstanceProvider,0,2,0,0,0,2,0,2,0,2
pg-embedded,de.softwareforge.testing.postgres.embedded,DatabasePreparer,0,4,0,0,0,1,0,2,0,2
pg-embedded,de.softwareforge.testing.postgres.embedded,DatabaseManager.DatabaseManagerBuilder,0,15,0,0,0,3,0,2,0,2
pg-embedded,de.softwareforge.testing.postgres.embedded,DatabaseInfo.Builder,0,11,0,0,0,3,0,2,0,2
pg-embedded,de.softwareforge.testing.postgres.embedded,ProcessOutputLogger,22,59,1,1,5,16,1,3,0,3
pg-embedded,de.softwareforge.testing.postgres.embedded,DatabaseInfo,12,90,2,0,3,12,2,6,1,6
pg-embedded,de.softwareforge.testing.postgres.embedded,DatabaseManager,13,164,3,9,3,36,4,12,1,9
pg-embedded,de.softwareforge.testing.postgres.embedded,AutoValue_DatabaseInfo,69,75,6,8,15,20,8,8,2,7
pg-embedded,de.softwareforge.testing.postgres.embedded,DatabaseManager.Builder,0,30,0,0,0,9,0,3,0,3
pg-embedded,de.softwareforge.testing.postgres.embedded,UncompressBundleDirectoryResolver,43,218,7,17,9,49,7,10,0,5
pg-embedded,de.softwareforge.testing.postgres.embedded,EmbeddedPostgres,230,874,28,28,43,172,25,40,3,34
pg-embedded,de.softwareforge.testing.postgres.embedded,EmbeddedUtil.new CompletionHandler() {...},16,20,0,0,5,6,1,3,1,3
pg-embedded,de.softwareforge.testing.postgres.embedded,FlywayPreparer,0,54,0,0,0,14,0,6,0,6
pg-embedded,de.softwareforge.testing.postgres.embedded,DatabaseManager.InstanceProviderPipeline,25,97,2,4,7,26,2,6,0,5
pg-embedded,de.softwareforge.testing.postgres.embedded,AutoValue_DatabaseInfo.Builder,63,94,15,13,15,28,12,10,0,8
pg-embedded,de.softwareforge.testing.postgres.embedded,EmbeddedPostgres.Builder,82,196,3,3,21,46,10,11,8,10
pg-embedded,de.softwareforge.testing.postgres.embedded,ZonkyIOPostgresArchiveResolver,0,32,0,0,0,5,0,2,0,2
pg-embedded,de.softwareforge.testing.postgres.junit5,EmbeddedPgExtension.TestMode,0,39,0,4,0,12,0,6,0,4
pg-embedded,de.softwareforge.testing.postgres.junit5,SingleDatabaseBuilder,13,10,0,0,4,2,3,2,3,2
pg-embedded,de.softwareforge.testing.postgres.junit5,EmbeddedPgExtension.EmbeddedPgExtensionBuilder,0,27,0,0,0,6,0,2,0,2
pg-embedded,de.softwareforge.testing.postgres.junit5,EmbeddedPgExtension,5,176,4,4,1,38,5,12,1,12
pg-embedded,de.softwareforge.testing.postgres.junit5,MultiDatabaseBuilder,13,10,0,0,4,2,3,2,3,2
